 Chosen one!, ¡Elegida!
"We joining up again, Boss? I'll try harder.","Nos juntamos otra vez, ¿Jefa? Intentaré hacerlo mejor."
We leaving Boss?,"¿Nos vamos, Jefa?"
We like de insides just de way day are man!,"¡A nosotros nos gustan las entrañas donde tienen que estar, miga!"
We make de friend for Grampy-bone out of your bones!,¡Nosotros hacemos miga de Abuelo Hueso con tus huesos!
We must have missed each other. I'm pleased to make your acquaintance.,No nos habremos encontrado antes. Estoy encantada de conocerte.
"We not be doin' the limbo man, can't get as low as we can.","Nosotros no hacemos limbo, miga."
"We only be needin' de one leg to kill you, man.","Nosotros necesitamos una pierna solo para matarte, miga."
We thinkin' you need time to smell de flowers. Grampy-Bone say you're too pushy all de time. You got to be takin' life slower.,Nosotros pensar que tu necesitas tiempo para oler las flores. Abuelo Hueso dice que tú ser demasiado agresiva. Tú deber tomarte la vida con más calma.
"We tink you must be dumber than you be lookin', but Grampy-bone not be thinkin' that possible.","Nosotros y yo creer que tú debes ser más tonta de que pareces, pero Abuelo Hueso no creer eso posible."
We want to be jumpin' man.,"Nosotros queremos poder saltar, miga."
"We were worried you might have been hurt, citizen.","Estábamos preocupados de que pudieras haber sido herida, Ciudadana."
"We're looking for slaver patrols. Seen any, stranger?","Estamos buscando patrullas de esclavistas. ¿Has visto alguna, forastera?"
"We're not staying here long, are we Boss?","No nos quedaremos mucho por aquí, ¿verdad, Jefa?"
"Weak AND slow, I see.","Por lo que veo, débil y lenta."
Weapon Flameboy,Arma lanzallamas
Welcome back to Rebecca's Bar and Casino. How can I help you?,Bienvenida de nuevo al Bar y Casino de Rebecca. ¿En qué puedo servirte?
"Welcome back, Chosen. I see by your face the salvation of the GECK is not yet ours. Be tireless as the ant before our reserves run out. You are our last hope.","Bienvenida, Elegida. Veo por tu rostro que la salvación del GECK aún no es nuestra. Se incansable como la hormiga antes de que se acaben nuestras reservas. Eres nuestra última esperanza."
"Welcome back, hero! Damn nice work you made of the Enclave...saved all our hides, you did, and I thank you for it. ","¡Bienvenida, heroína! Hiciste un maldito buen trabajo con el Enclave... salvaste nuestros pellejos, eso hiciste, y te lo agradezco. "
Welcome back.,Bienvenida de nuevo.
Welcome back. Anything I can help you with?,Bienvenida de nuevo. ¿Hay algo en lo que pueda ayudarte?
Welcome back. Need more booze?,Bienvenida de nuevo. ¿Quieres más licor?
Welcome back. Things are going well. We're going to work on expanding the Village.,Bienvenida de nuevo. Las cosas están yendo bien. vamos a trabajar para expandir el poblado.
"Welcome home, Chosen One! Did you find the vault? Have you returned with the GECK?","¡Bienvenido a casa, Elegida! ¿Has encontrado el Refugio? ¿Has traído el GECK?"
"Welcome the NCR. Just to let you know, if you got weapons, keep 'em holstered. This ain't a gun-toting town, stranger.","Bienvenida a RNC. Tienes que saber que si llevas armas, mantenlas guardadas. Esta no es una ciudad para pistoleros, extranjera."
Welcome to Ascorti's.,Bienvenida al local de Ascorti.
Welcome to Camp Navarro... a civilian! How in the hell did a civilian get on this base! I'll have someone's ass for dinner! Get this civilian off government property.,Bienvenido a la Base Navarro... ¡una civil! ¿Cómo coño un civil ha entrado en la base? ¡Le voy a romper el culo a alguien! Echad a este civil fuera de propiedad gubernamental.
Welcome to Congress House. How can I help you?,Bienvenida al Congreso. ¿Cómo puedo ayudarte?
Welcome to Gecko.,Bienvenida a Gecko.
"Welcome to NCR, capital of the New California Republic, President Tandi ruling.","Bienvenida a RNC, capital de la República de Nueva California, la presidente Tandi está al mando."
"Welcome to NCR, stranger. Name's Dumont - Sheriff Dumont. Hope you're having a nice peaceful time here.","Bienvenida a RNC, forastera. Me llamo Dumont, sheriff Dumont. Espero que disfrutes de tranquilidad mientras estés por aquí."
Welcome to San Francisco.,Bienvenida a San Francisco.
"Welcome to Vault City, hero!","¡Bienvenida a Ciudad Refugio, heroína!"
Welcome to Vault City.,Bienvenida a Ciudad Refugio.
Welcome to our Village.,Bienvenida a nuestro poblado.
Welcome to the big city.,Bienvenida a la gran ciudad.
Welcome to the guild!,¡Bienvenida al gremio!
"Welcome to the major leagues, rookie.","Bienvenido a las ligas mayores, novata."
"Welcome! Care for a drink, Chosen One?","¡Bienvenida! ¿Te apetece una bebida, Elegida?"
"Welcome, Chosen One! Please, take a seat in the bar.","¡Bienvenida, Elegida! Por favor, siéntate en el bar."
"Welcome, Chosen. Bless us with words that the GECK will be found soon. Our village ails, our need is great, our time, short.","Bienvenida, Elegida. Bendícenos con tus palabras sobre el próximo hallazgo del GECK. Nuestro poblado enferma, nuestra necesidad es grande, nuestro tiempo, escaso."
"Welcome, friend.","Bienvenida, amiga."
"Welcome, hero. Please, take a seat in the bar.","Bienvenido, heroína. Por favor, toma asiento en el bar."
"Welcome, mister...Eldridge's the name. You in the market for some iron to fill that holster of yours?","Bienvenida, señorita... Eldridge es mi nombre. ¿Estás en el mercado en busca de algo de hierro con el que llenar tu cartuchera?"
"Welcome, stranger. I'm Deputy Karl. What can I do for you?","Bienvenida, forastera. Soy el ayudante Karl. ¿Qué puedo hacer por ti?"
"Welcome, traveler. I am called Gordon, and I am the Shrine Keeper. What can I help you with?","Bienvenida, viajera. Me llamo Gordon, y soy el Guardián del Santuario. ¿En qué puedo ayudarte?"
"Welcome, traveler...Eldridge's the name. You in the market for some iron to fill that holster of yours?","Bienvenido, viajera... Eldridge es mi nombre. ¿Estás en el mercado en busca de algo de hierro con el que llenar tu cartuchera?"
"Welcome. I am ACE, the medical computer. Are you in need of medical assistance?","Bienvenida. Soy EAC, la computadora médica. ¿Necesita asistencia médica?"
Well I'll be damned. I had you escorted off this base and here you are again. I don't think you're a civilian after all. More than likely you're a spy! Sound the alarm and execute this maggot!,"Que me aspen. Te escolté fuera de la base y aquí estás de nuevo. Después de todo, no creo que seas una civil. ¡Es más fácil que seas un espía! ¡Dad la alarma y ejecutad a este gusano!"
"Well done, Citizen.","Bien hecho, Ciudadana."
"Well information's what it's all about, pal. What do you want to know about?","La información lo es todo, amiga. ¿Qué es lo que quieres saber?"
"Well it depends on what you're good at. There is something I'm curious about. If you can find out, I'll pay you a bit.","Bueno, depende de si eres buena en algo. Hay un tema sobre el que tengo curiosidad. Si puedes averiguar algo, te pagaré."
"Well keep it polite, punk, or this could get ugly.","Eh, un poquito de amabilidad, gamberra, o esto podría ponerse feo."
"Well now, if it ain't the mysterious stranger. What can I do for you today?","Vaya, si es la forastera misteriosa. ¿Qué puedo hacer hoy por ti?"
"Well stranger, since you're (hic) new to these parts, you probably don't (urp) know that it's
 (hic) customary to tip the town greeter before asking any questions and such.","Bien forastera, dado que eres nueva por estos (hic) lares, y como parece que necesitas (urp) alguna indicación, te diré que es costumbre el dar propina al guía antes de hacerle ninguna pregunta."
"Well you shouldn't worry, son. As long as he doesn't tax his system, he'll probably outlast us all. 'Course that's if he'd ever mind my doctoring or his medicine.","Pues no deberías preocuparte, hija. En tanto no ponga a prueba su sistema, probablemente nos sobreviva a todos. Claro está, si alguna vez decide entre mis cuidados médicos o sus medicamentos."
"Well, I am the Chosen One.","Bueno, soy la Elegida."
"Well, I tell ya youngster. Nice try but yer still an idjit. Maybe this'll be the lesson you need. You are outta here.","Bueno, te diré algo, hija. Lo has intentando pero sigues siendo una idiota. Quizás esta sea la lección que necesitas. Fuera de aquí."
"Well, I would be willing to pay a little for some information.","Bueno, estaría dispuesta a pagar una cantidad por algo de información."
"Well, I'm glad I don't have to introduce myself then. What do you do here, ""Nick?""","Bien, me alegra no tener que presentarme a mí misma. ¿Qué estás haciendo aquí, ""Santa""?"
"Well, I'm good to go. Let's do it.","Muy bien, pues estoy lista. Vamos allá."
"Well, I'm only interested in saving my tribe. The rest of the world can fend for itself. Goodbye.",Pues yo sólo estoy interesada en salvar a mi tribu. El resto del mundo puede cuidarse por sí mismo. Adiós.
"Well, I'm pretty busy right now. I don't think I can help you out.","Bueno, ahora mismo estoy bastante ocupada. No creo que pueda serte de ayuda."
"Well, I'm sure Harold's pretty busy. See you later.","Bueno, estoy segura de que Harold está bastante ocupado. Nos vemos luego."
"Well, I'm sure I can't do as good a job of taking care of him as you did, but I'll sure try.","Bueno, estoy segura de que no puedo hacer un trabajo tan bueno como el tuyo cuidando de él, pero lo intento."
"Well, I'm sure I'll sleep easier knowing that Klamath is safe from Bob's hooch.","Sí, estoy segura de que dormiré más tranquilo sabiendo que Klamath está a salvo del alcohol de Bob."
"Well, I'm sure he must be happy working for you folks, but I still want to pay his damages. I
 don't think anyone should be trapped the way he is.","Bueno, estoy segura de que está feliz trabajando aquí con vosotros, pero aún así quisiera saldar su deuda. No creo que nadie deba estar atrapado de la forma en la que él lo está."
"Well, all right, you're cleared to enter. Vault City prevails, Citizen.","Bien, todo está en orden, puedes entrar. Ciudad Refugio prevalece, Ciudadana."
"Well, aren't you a goody-two-shoes. I don't think I like your tone, pal.","Bueno, desde luego no eres una santa. Creo que no me gusta tu tono, amiga."
"Well, aren't you the one! Just the way I like them.","¡Bien, no eres la única! Es sólo la forma en que me gustan."
"Well, for an attractive individual like yourself that would only cost $25.","Bien, por una individua tan atractiva como tú tan sólo serán 25 dólares."
"Well, hello there, stranger. I'm Ed, the local brahmin dealer. Help you with something?","Bien, hola, forastera. Soy Ed, el tratante de brahmines local. ¿Puedo ayudarte en algo?"
"Well, if it ain't th' ""Captain...""","Vaya, pero si es la ""capitán""..."
"Well, if it ain't the First Citizen's favorite toadie...","Vaya, pero si es la esbirro favorita de la Primer Ciudadano..."
"Well, if it ain't the new Citizen.","Vaya, ¿pues no es la nueva Ciudadana?"
"Well, if it ain't the wuss. Go on and leave me alone.","Vaya, que me aspen si no es la cobardica. Lárgate y déjame en paz."
"Well, if it isn't my Dad's ""boss.""","Vaya, si es la ""jefa"" de mi papá."
"Well, if it isn't our burly-armed chum.","Vaya, pero si es nuestra amiga de fuerte brazo."
"Well, if it's not another dang idiot. Just like Torr. Get the hell out of my bar.","Vaya, pues no es otra maldita idiota. Igual que Torr. Lárgate de mi bar."
"Well, if'n it ain't my idjit friend. Thanks a heap. Goodbye to you.","Vaya, pero si es mi amiga idiota. Muchas gracias. Adiós."
"Well, let's take a look... first, let's see if... oh, very good, I see you got that one, how about... why yes, you carried the two, very clever, very clever... but why did you... oh, you applied the derivative to #5... brilliant!","Bien, echemos un vistazo... primero, veamos si... oh, muy bien, veo que lo pillaste, a ver... pues sí, llevaste las dos, muy lista, muy lista... pero cómo... oh, aplicaste la derivativa en la #5... ¡brillante!"
"Well, look at the brass balls on this son of a bitch... get, boy, before we gun you down.","Vaya, mira las pelotas de acero de esta hija de puta... lárgate, chica, antes de que te metamos una bala en el entrecejo."
"Well, look at the swagger on this bitch...","Vaya, mira la soberbia de esta puta..."
"Well, look, it's the Chosen One.","Anda, mira, si es la Elegida."
"Well, now I ain't a mechanic, so I can't help that brain whazzit you got with you. Sorry, friend.","Bueno, no soy mecánico, así que no puedo ayudar con ese cerebro que tienes. Lo siento, chica."
"Well, now that you mention it, I think I would like to be a Ranger.","Bueno, ahora que lo mencionas, creo que me gustaría ser una Ranger."
"Well, now. I ain't seen you around before, stranger. Name's Cassidy. I run this place. What can I do for you?","Bueno. No te había visto antes, forastera. Me llamo Cassidy. Dirijo este lugar. ¿Qué puedo hacer por ti?"
"Well, pal, that's the first time anyone's ever beaten me in a fair contest. You win. Take this.
 Well done.","En fin, amiga, es la primera vez que alguien me ha vencido en un combate justo. Tú ganas. Toma esto. Bien hecho."
"Well, sometimes you just get luckier than others. This was one of the unlucky times. Goodbye.","Bueno, unas veces tienes más suerte que otras. Esta ha sido una de las desafortunadas. Adiós."
"Well, thank god that stranger didn't take you child...My stuff is like my children, see.","Bien, gracias a Dios que esa forastera no te llevó, hija... Mis cosas son mis hijas."
"Well, thank you kindly, stranger.","Bien, te lo agradecemos mucho, forastera."
"Well, that's a right nice try for an idjit. But I ain't having none of your kind in here. Now,
 git out. Shoo, shoo.","Buen intento para una tonta. Pero no queremos a los tuyos por aquí. Ahora, largo. Desaparece."
"Well, that's damn fine of you, stranger - and damn presumptuous, too. I don't know you from Adam and Eve and I don't like the way you look! I'm not recommending you to anybody. Now, I got work to do.","¡Vaya, eso es muy audaz por tu parte, forastera... y también jodidamente presuntuoso. ¡Ni te conozco lo más mínimo ni me gusta la pinta que tienes! No te recomendaría a nadie. Ahora, tengo trabajo que hacer."
"Well, then here you go. Nice to meet you, stranger.","Bien, entonces aquí está. Encantado de conocerte, forastera."
"Well, then there's no work for you here. Countryside's a rough place. No place for weaklings, stranger. ","Bien, entonces aquí no hay trabajo para ti. El campo es un lugar duro. No hay sitio para los débiles, forastera. "
"Well, then, I suppose we have nothing more to say to one another. But you know that I cannot
 allow you to leave here alive, unless you're one of us.","Bien, entonces supongo que no nos queda nada más que decirnos. Pero sabes que no puedo permitirte salir de aquí con vida, a menos que seas una de nosotros."
"Well, we're always looking for good people to further our cause. If you change your mind, look me up. Are you sure you won't take the opportunity to join now?","Bien, siempre estamos buscando buena gente que fomente nuestra causa. Si cambias de opinión, búscame. ¿Estás segura de no aceptar la oportunidad de unirte ahora?"
"Well, welcome to Vault City, fellow Citizen.","Vale, bienvenida a Ciudad Refugio, apreciada Ciudadana."
"Well, well, if it isn't those papers that were stolen last month. Looks like I finally found the culprit. Come with me, Outsider.","Vaya, vaya, aquí están los documentos que fueron robados el mes pasado. Parece que finalmente he encontrado al culpable. Ven conmigo, forastera."
"Well, yes! I am quite a skillful tracker, if I do say so myself. Okay, I'll help.","¡Oh, sí! Soy una rastreadora bastante habilidosa, a mi modesto entender. De acuerdo, te ayudaré."
"Well, you CAN become a Citizen... unofficially.","Bien, PUEDES convertirte en Ciudadana... extraoficialmente."
"Well, you are a Citizen of the community, aren't you? You are permitted to walk down there.","Bien, eres una Ciudadana de la comunidad, ¿cierto? Tienes permiso para bajar allí."
"Well, you got yourself a steal there, partner.","Bien, has conseguido una auténtica ganga, amiga."
"Well, you have the air of an experienced traveler. With your skills, maybe you'll be able to
 track down my son.","Bueno, tienes el aspecto de una viajera experimentada. Con tu habilidad, quizás seas capaz de hallar la pista de mi hijo."
"Well, you just let me know when you want something and I'll get you set up, friend. Try not to
 disturb the other customers, all right?","Bien, simplemente avísame cuando quieras algo y te surtiré, amiga. Intenta no molestar a los demás clientes, ¿de acuerdo?"
"Well, you're a sharp deal maker and there's no denying it. OK, I'll make it $65. Will you do it?","Bien, eres un negociante muy lista, no voy a negarlo. Vale, que sean 65 dólares. ¿Lo harás?"
"Well, you're pretty dumb, aren't you? You should head on over to Vault City.","Bien, eres bastante estúpida, ¿no? Deberías dirigirte a Ciudad Refugio."
"Well, you're right - I could have done a better job. I guess I'm not a natural rustler like
 you two are. I need something, though.","Sí, tienes razón. Podría haberlo hecho mejor. Supongo que no soy una cuatrera como vosotros dos. Sin embargo, necesito ayuda."
"Well-met, fellow Ranger. Afraid there's not much for you to do around here at this time. Most our people are already out on patrol. I'll spread the word that you're one of us now. I wouldn't want you getting shot by one of us.","Bien hallada, compañera Ranger. Temo que no haya mucho que puedas hacer aquí en este momento. La mayoría de nuestros efectivos ya está de patrulla. Correré la voz de que ahora eres una de nosotros. No me gustaría que recibieras un disparo de uno de los nuestros."
"Well... Oh, I'm sorry but I seem to have misplaced the flint. I wish you a safe journey though, child. ","Bien... Oh, lo siento, pero parece que he extraviado el pedernal. Sin embargo te deseo un buen viaje, hija."
"Well... Oh, very well. Here is the flint. I wish you a safe journey, child. ","Bien... Oh, bien. Aquí está el pedernal. Te deseo un buen viaje, hija."
"Well... no offense, but are you sure you're qualified? Oh, never mind. You can't possibly make matters any worse than they already are. Go right ahead.","Bien... no te ofendas, pero ¿estás segura de estar cualificada? Oh, no importa. Seguro que no puedes hacer que las cosas empeoren más de lo que ya lo están. Adelante."
Well...I don't know. I'm pretty new to this area and I've only been to the following areas.,Bueno... no lo sé. Soy nueva por aquí y sólo he ido a las siguientes zonas.
Were you asleep during indoctrination? Hmmph - you are not one of the Enlightened!,¿Estabas dormido durante el adoctrinamiento? Mmmmm... ¡tú no eres una de los Iluminados!
Wha? Free? Bad men gone? We go now! Thank you. You friend! Bye!,¿Qué? ¿Libre? ¿Hombre malo irse? ¡Nosotros marchar ahora! Gracias. ¡Tú amiga! ¡Adiós!
"What a coincidence. I'm Bishop's lieutenant, ","Qué coincidencia. Soy la lugarteniente de Bishop, "
What a coincidence. I'm one of Bishop's lieutenants: ,Qué coincidencia. Soy una de las lugartenientes de Bishop. 
What a friend.,Vaya amiga.
What a maroon. ,Menuda imbécil.
"What are you chump, blind? This is a slave pen. You want to know more, talk to Vortis.","¿Qué te pasa imbécil, estás ciega? Es un centro de esclavos. Si quieres saber más, habla con Vortis."
"What are you doing so far from Vault City, citizen?","¿Qué estas haciendo tan lejos de Ciudad Refugio, Ciudadana?"
"What are you, deaf? Are you the guy or not?","¿Qué eres, sorda? ¿Eres ella o no?"
"What are you, dense? This is a slave pen. I got licenses for it.","¿Qué pasa contigo, eres tonta? Este es un centro de esclavos. Tengo licencia para ello."
"What are you, some kind of tough guy? Get outta my face!","¿Qué eres tú, alguna clase de tía dura? ¡Sal de mi vista!"
"What can I do for you, Boss?","¿Qué puedo hacer por ti, Jefa?"
"What can I do for you, Citizen?","¿Qué puedo hacer por ti, Ciudadana?"
"What can I do for you, stranger?","¿Qué puedo hacer por ti, forastera?"
What do I need to do to become a Citizen?,¿Qué necesito hacer para convertirme en Ciudadana?
"What do you think you are doing, child? This is no way for the Chosen One to act. Now get out of my sight!","¿Qué crees que estás haciendo, chiquilla? Esa no es manera de actuar para una Elegida. ¡Ahora desaparece de mi vista!"
"What do you want with Doofus, man?","¿Qué quieres de Doofus, amiga?"
What else could I do to beat customs other than becoming a Citizen?,¿Qué otra cosa podría hacer para saltarme la aduana además de convertirme en Ciudadana?
"What ever you say, Boss.","Cómo tú digas, Jefa."
"What is the nature of your business, sir?","¿Cuál es la naturaleza de dichos asuntos, señora?"
What is your major malfunction numb-nuts?,"¿Qué es lo que peor te funciona, tarada?"
What kind of an asshole question is that?,¿Qué clase de pregunta idiota es esa?
"What news of the GECK, Chosen One?","¿Qué nuevas hay del GECK, Elegida?"
What th-? Are you one of the new Servants?,¿Pero qu-? ¿Eres una de los nuevos siervos?
"What th-?! Nobody's gonna believe you, Outsider! It'll be your word over mine!","Pero qu-?! ¡Nadie va a creerte, forastera! ¡Será tu palabra contra la mía!"
What the fuck? Guards! We got an intruder!,¡Qué cojones? ¡Guardias! ¡Tenemos una intrusa!
"What the hell are you going to do about it, you goddamn shit-heel?","¿Y qué coño piensas hacer, maldita imbécil?"
What the hell is this? Infiltrator on base!,¿Qué demonios pasa aquí? ¡Intrusa en la base!
"What the hell. I must be crazy, but I'll do it.","Qué diablos. Debo estar loca, pero lo haré."
"What was that? Did you forget something, maggot?","¿Qué ha sido eso? No te has olvidado de algo, ¿gusanaza?"
"What would you like, friend?","¿Qué se te ofrece, amiga?"
"What you sneaking around for, chica? With that right hook you got, you should walk tall.","¿Por qué andas a hurtadillas, chica? Con el gancho de derecha que tienes, deberías caminar erguida."
"What you sneaking around for, chica? You looking to get shot?","¿Por qué demonios andas a hurtadillas, chica? ¿Quieres que te disparen?"
"What! Are you trying to be a wise ass? Everyone knows old Corny lost his gold pocket watch.
 He even had me search his best friend's house looking for it. If you know what's good for you, you'd
 keep your nose out of this. Good day!","¡Cómo! ¿Estás intentando hacerte la lista? Todo el mundo sabe que el viejo Corny perdió su reloj de oro. Hasta me tuvo buscándolo en casa de su mejor amigo. Si sabes lo que te conviene, mejor que no metas las narices en ese asunto. ¡Buenos días!"
"What'd you say your name was again, stranger? I'm Saltbeef Bob.","¿Cómo dijiste que era tu nombre, extranjera? Yo soy cecina Bob."
"What'll it be, stranger?","¿Qué va a ser, forastera?"
"What'll we do now, Boss?","¿Qué hacemos ahora, Jefa?"
"What'll we do now, baby?","¿Qué hacemos ahora, querida?"
"What're you doing here, punchy? Lose your way to the boxing ring? Get outta here.","¿Qué estás haciendo aquí, sonada? ¿Te has perdido de camino al ring? Sal de aquí."
"What's ours is yours, fren.","Lo nuestro es tuyo, miga."
"What's the plan, Boss?","¿Cuál es el plan, Jefa?"
"What's up, friend?","¿Qué pasa, amiga?"
What's with all the slavers around here recently?,¿Qué pasa con todos esos esclavistas rondando por aquí últimamente?
"What's wrong, young man?","¿Qué ocurre, jovencita?"
"What? Are you deaf or just stupid? *I'm* talking to *you*, all right. Now get out!","¿Qué? ¿Eres sorda o simplemente tonta? *Estoy* hablando *contigo*. Bien, ahora ¡largo!"
What? I'm not good enough for your company? Screw you!,¿Qué? ¿No soy suficientemente buena para acompañarte? !Que te jodan!
"What? Oh, you must be new around here. Welcome to Modoc. My name's Jo, I run the trading post
 here at Modoc.","¿Qué? Oh, debes ser nueva por aquí. Bienvenido a Modoc. Mi nombre es Jo, y llevo el puesto comercial de Modoc."
Whatcha doing mister?,"¿Qué está haciendo, señora?"
Whatcha gawkin' at?,¿Qué haces ahí parada?
Whatever. I'm outta here.,Lo que sea. Me largo de aquí.
Whatta fuckin' sissy you are.,Qué pedazo de hijaputa eres.
"When I grow up, you'll be old, and I'll do to you what you did to Mr. Nixon.","Cuando yo crezca, tú serás vieja, y te haré lo mismo que le has hecho al señor Nixon."
"When it comes to pleasing sexually, you wrote the book.","A la hora de dar placer sexual, eres la mejor."
"When you are tough, you take less damage. Each level of this Perk adds +10% to your general damage resistance.","Cuando eres dura, recibes menos daño. Cada nivel de este extra añade un 10% a tu resistencia al daño."
Where did you learn to fight? You're vicious.,¿Dónde aprendiste a pelear? Eres sanguinaria.
Where slave? Me no see one,¿Dónde esclava? No veo una yo.
Where the hell is that screw-up private?!,¿Dónde está esa soldado patosa?
"Where you from, you fight like that? You're good. I mean, GOOD.","¿De dónde eres, peleando así? Eres buena. Y quiero decir BUENA."
"Where you learn to fight, chica? You're vicious. You got the MOVES.","¿Dónde aprendiste a pelear, chica? Eres implacable. Sabes MOVERTE."
Who are you to be accusing a Citizen of such crimes? Guards! Escort this Outsider to the gates!,¿Quién eres tú para acusar a un Ciudadano de tales crímenes? ¡Guardias! ¡Escoltad a esta extranjera a la salida!
Who the--? <zzzt> We got an intruder here!,¿Pero quién--? <zzzt> ¡Tenemos una intrusa aquí!
"Who wouldn't? I think I'll try to find some of that gold myself. Thanks, and goodbye.","¿Quién no lo haría? Creo que voy a intentar encontrar yo misma algo de ese oro. Gracias, y adiós."
"Whoa man, there's like this giant talking to me! Is that so cool or what?","¡Oye, amiga, algo parecido a un gigante me está hablando! ¿No es una pasada?"
"Whoa, easy there!","¡Eh, eh, tranquila!"
"Whoa, hold on there! *Piece of shit? Smells like Gecko?* ","¡Eh, espera un momento! ""¿Montón de mierda? ¿Huele como un gecko?"" "
"Whoa, man, I warned you. Bad place. Bad folks around here. Heard stuff from your transport got jacked.","Oye, amiga, Te advertí. Un mal lugar. Mala gente por aquí. He oído que se te llevaron tu transporte."
"Whoa, we're in the presence of royalty. Big hero, comin' through.","Vaya, estamos en presencia de la realeza. Gran heroína entrando..."
"Whoa...looks like you've been in some heavy fighting, friend.","Vaya... parece que has tenido una dura pelea, chica."
"Whoa...looks like you've seen some serious action, friend.","Vaya... parece que has tenido acción de verdad, chica."
"Why are you out of uniform, man?","¿Por qué no llevas el uniforme, amiga?"
Why did the slave in the control group kill herself? We weren't even testing her!,¿Por qué la esclava del grupo de control se suicidó? ¡Ni siquiera hacíamos pruebas con ella!
"Why didn't you just tack a sign on your chest that says, 'dumb mother fucker?' ",¿Por qué simplemente no te grabas una señal en el pecho que diga 'tonta hijoputa?' 
"Why do you wait so long? We must have the GECK soon. Chosen One, our village is dying.","¿A qué estás esperando? Debemos conseguir el GECK cuanto antes. Elegida, nuestro poblado se muere."
Why not? Are you scared or something? Are you positive you won't do it?,"¿Por qué no? ¿Tienes miedo, o algo así? ¿Estás segura de que no lo vas a hacer?"
"Why the alert, man? What's happening?","¿A qué viene la alerta, amiga? ¿Qué está ocurriendo?"
Why you arrogant son of a -- I ought to go tell Daddy right now what you said to me.,Arrogante hija de... creo que debo ir a contarle a papá lo que me has dicho ahora mismo.
"Why you bothering Lenny, you little white grub?","¿Por qué molestas a Lenny, pequeña gusanaza?"
Why you wanna be me? Me DUMB,¿Por qué tú quieres ser yo? Yo TONTA
"Why, hello there, stranger. I'm Miria.","Hola, forastera. Soy Miria."
"Why, how SILLY of me. I should have known that someone of YOUR superior breeding came from Vault Dweller stock. Pah! Waste no more of my time, Outsider.","TONTO de mí. Debería haber sabido que alguien de TU superior cultura vendría de la reserva del Morador del Refugio. ¡Bah! No malgastes más de mi tiempo, forastera."
"Why, if it isn't Reno's most famous prizefighter!","¡Vaya, pero si es la más famosa luchadora de Reno!"
"With you on our side, those other families don't stand a chance, boss.","Contigo de nuestro lado, las demás Familias no tienen ninguna oportunidad, jefa."
"Without a scan, you cannot join us. Are you sure you wish to refuse?","Sin un escaneo, no puedes unirte a nosotros. ¿Estás segura de que deseas rehusar?"
"Woman, I am neither deaf nor stupid. I can understand you QUITE well without you raising your voice.","Mujer, ni soy sorda ni un estúpida. Puedo comprenderte BASTANTE bien sin que levantes la voz."
"Wonderful, brother. So what level are you?","Maravilloso, hermana. Así que, ¿cuál es tu nivel?"
"Wooz, I don't know you very well, and I'm pretty sure I don't want to. However, I think I can
 say, without fear of exaggeration, that you need help. Immediate, competent help. ","Wooz, no te conozco muy bien, y estoy bastante segura de que no quiero. De todos modos, creo que puedo decir, sin pecar de exagerado, que necesitas ayuda. Inmediata y competente. "
Would you be interested in a little trade?,¿Estarías interesada en un poco de comercio?
Would you stop calling me Boss?,¿Podrías dejar de llamarme Jefa?
Wow! A talking asshole!,"¡Anda, mira! ¡Una gilipollas andante!"
"Wow, man. He killed Tubby.","Caray, amiga. Han matado a Tubby."
"Wow, man. She killed Tubby.","Caray, amiga. Han matado a Tubby."
"Wow, you look pretty mean.","Caray, tienes pinta de ser bastante malvada."
Wow... a hero AND a spleen-finder.,"Vaya, vaya... una heroína y una buscadora de bazos."
Wretch! You have failed the village!,¡Desgraciada! ¡Le has fallado al poblado!
"Wrong answer, maggot. You are to carry your papers with you at all times and you should know that!","Respuesta equivocada, gusanaza. ¡Debes llevar tus papeles contigo en todo momento y deberías saberlo!"
"Wrong move, stranger.","Movimiento equivocado, forastera."
"YER gross, pee-pee FACE","TÚ eres asquerosa, cara de PIS"
YOU *ARE* THE CHOSEN ONE!,¡*ERES* LA ELEGIDA!
YOU ARE *NOT* THE CHOSEN ONE.,TÚ NO *ERES* LA ELEGIDA.
"Ya eat lightning and crap thunder, kid.","Comes rayos y cagas truenos, muchacha."
Yeah - I'm hurt and it looks like you're a doctor.,Sí: estoy herida y parece que tú eres un doctor.
"Yeah, I believe you. Looks like we got ourselves an intruder...","Siiiiiiiiiiii, te creooooooooooo. Parece que tenemos una intrusa..."
"Yeah, I can do that. But what are you willing to trade for it?","Sí, puedo hacerlo. Pero, ¿qué estás dispuesta a intercambiar por ello?"
"Yeah, I heard he's DEAD. That what you want to hear, killer?! Huh?! Now you gonna place a bet or bullshit me some more?","Sí, he oído que está MUERTO. ¡¿Eso es lo que querías oír, asesina?! ¡¿Eh?! Y ahora, ¿vas a apostar o vas a seguir con tus chorradas?"
"Yeah, I understand you need someone to put in your place, PRINCESS, and I'm just the man to do it.","Sí, entiendo que necesitas que alguien te ponga en tu lugar, PRINCESA, y yo soy justo la mujer que va a hacerlo."
"Yeah, I was interested in something else...","Sí, estaba interesada en algo más..."
"Yeah, I'm from the NCR, too. It's not the best, but it's a living. I'm pretty much a free agent.","Sí, también pertenezco a la RNC. No es lo mejor, pero puede pasar. Soy algo así como una agente libre."
